time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,new_la_code,la_name,sex_of_school_description,phase_type_grouping,type_of_establishment,denomination,admissions_policy,urban_rural,academy_flag,number_of_schools,headcount_of_pupils
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,State-funded primary,Total,Total,Total,Total,Total,97,24355
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,State-funded secondary,Total,Total,Total,Total,Total,27,23395
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,State-funded special school,Total,Total,Total,Total,Total,4,866
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,Total,Total,Total,Total,Total,Total,133,49159
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,Independent school,Total,Total,Total,Total,Total,36,11651
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,State-funded AP school,Total,Total,Total,Total,Total,3,10
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,State-funded nursery,Total,Total,Total,Total,Total,7,595
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,State-funded primary,Total,Total,Total,Total,Total,210,52059
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,State-funded secondary,Total,Total,Total,Total,Total,35,37569
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,State-funded special school,Total,Total,Total,Total,Total,12,1768
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,873,E10000003,Cambridgeshire,Total,Total,Total,Total,Total,Total,Total,303,103652
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,Independent school,Total,Total,Total,Total,Total,47,11412
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,98
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,State-funded AP school,Total,Total,Total,Total,Total,6,296
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,State-funded nursery,Total,Total,Total,Total,Total,2,255
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,State-funded primary,Total,Total,Total,Total,Total,445,123282
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,State-funded secondary,Total,Total,Total,Total,Total,81,96115
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,State-funded special school,Total,Total,Total,Total,Total,22,3667
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,881,E10000012,Essex,Total,Total,Total,Total,Total,Total,Total,604,235125
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,Independent school,Total,Total,Total,Total,Total,53,24085
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,44
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,State-funded AP school,Total,Total,Total,Total,Total,8,102
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,State-funded nursery,Total,Total,Total,Total,Total,14,1464
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,State-funded primary,Total,Total,Total,Total,Total,404,103253
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,State-funded secondary,Total,Total,Total,Total,Total,82,94974
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,State-funded special school,Total,Total,Total,Total,Total,26,2941
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,919,E10000015,Hertfordshire,Total,Total,Total,Total,Total,Total,Total,588,226863
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,Independent school,Total,Total,Total,Total,Total,35,5803
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,State-funded AP school,Total,Total,Total,Total,Total,3,461
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,State-funded nursery,Total,Total,Total,Total,Total,3,204
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,State-funded primary,Total,Total,Total,Total,Total,346,64658
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,State-funded secondary,Total,Total,Total,Total,Total,54,51691
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,State-funded special school,Total,Total,Total,Total,Total,16,2121
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,926,E10000020,Norfolk,Total,Total,Total,Total,Total,Total,Total,457,124938
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,Independent school,Total,Total,Total,Total,Total,34,8113
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,State-funded AP school,Total,Total,Total,Total,Total,10,21
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,State-funded nursery,Total,Total,Total,Total,Total,1,103
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,State-funded primary,Total,Total,Total,Total,Total,253,56649
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,State-funded secondary,Total,Total,Total,Total,Total,46,45849
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,State-funded special school,Total,Total,Total,Total,Total,14,1621
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,935,E10000029,Suffolk,Total,Total,Total,Total,Total,Total,Total,358,112356
